TF	target	importance
Pbx2	Ppargc1b	4.035295812952519
Zfp651	Skiv2l2	4.0230311714463705
Zfp651	Morn4	4.0214217715192655
Prkaa1	Zc3h15	3.975255772421872
Pbx2	Usp25	3.974704761530194
Zzz3	Cdc123	3.95150296873033
Zfp651	Mapkap1	3.9366166076170703
Pbx2	Smim8	3.899986824924464
Zfp651	Zzz3	3.8800331082395356
Zzz3	Tbc1d32	3.8430727610943323
Pbx2	Glce	3.8326699484394613
Pbx2	Ndst4	3.8274865819191715
Zc3h11a	Acvr1c	3.658140997329512
Zfp651	Nav1	3.6571436665287025
Zzz3	Paqr8	3.6295114844447967
Pbx2	Wwox	3.621810873169247
Pbx2	Nup88	3.5957248345827484
Zc3h11a	Pus3	3.59345662048634
Zfp651	Paox	3.5914138613120143
Prkaa1	Nup88	3.5127631877474372
Zfp651	Paqr8	3.5029479891854565
Zfp651	Atp13a2	3.4700638256270717
Zzz3	Ndst4	3.457113545766825
Zc3h11a	Nptx1	3.4202083246669943
Zc3h11a	Cdh12	3.4074973602640495
Prkaa1	Zswim7	3.3848272126502863
Zzz3	Rab11fip3	3.3714769573298353
Zfp651	Phactr2	3.3700567828288683
Zzz3	Otub1	3.3596562235406973
Zfp651	Gal3st3	3.326888368115286
Zzz3	Ppp4r1l-ps	3.3039047633590743
Zfp651	Ccne1	3.292438840525911
Zzz3	Wdr62	3.282118589656693
Zc3h11a	Mar-03	3.2704298114599126
Zzz3	Mapkap1	3.2637679162893187
Pbx2	Rian	3.2261521858234743
Pbx2	Zgpat	3.201130321079573
Zfp651	Cldn12	3.1712022920955665
Zzz3	Snapc3	3.167789527134844
Pbx2	Neto1	3.143187492612222
Zfp651	Snx5	3.107442782791797
Pbx2	Snapc3	3.1015744520571906
Pbx2	Casp8ap2	3.1001391523801884
Zfp651	Sorbs3	3.081762950863803
Pbx2	Rab11fip3	3.0541305829980754
Prkaa1	Ndst4	3.0385492634740787
Prkaa1	Timm10b	3.036169129319825
Pbx2	Ppp4r1l-ps	3.034227083785925
Zzz3	Nptx2	3.0214357113567245
Zzz3	Glce	3.0047198350191118
Zfp651	Tph2	2.973946411827264
Prkaa1	Gal3st3	2.972857803677715
Zzz3	Sorbs3	2.9695595257953133
Zzz3	Neto1	2.914439734895249
Zzz3	Timm10b	2.9138472504857584
Pbx2	Usp53	2.907482883660923
Zzz3	Hsph1	2.8853594989864253
Zfp651	Glce	2.8844963008387134
Zzz3	Nptx1	2.876134754296297
Prkaa1	Mtmr12	2.8711003697731345
Zzz3	Wwc1	2.845122547417656
Pbx2	Ctss	2.8421516176769526
